HT-1000,LT,Computer Systems,Very Best Screens,4.2,KG,"Notebook Basic 15 with 2.80 GHz quad core. 15"" LCD. 4 GB DDR3 RAM. 500 GB Hard Disc. Windows 8 Pro",Notebook Basic 15,956.0,EUR,30,18,3,cm
HT-1001,LT,Computer Systems,Very Best Screens,4.5,KG,"Notebook Basic 17 with 2.80 GHz quad core. 17"" LCD. 4 GB DDR3 RAM. 500 GB Hard Disc. Windows 8 Pro",Notebook Basic 17,1249.0,EUR,29,17,3.1,cm
HT-1002,LT,Computer Systems,Very Best Screens,4.2,KG,"Notebook Basic 18 with 2.80 GHz quad core. 18"" LCD. 8 GB DDR3 RAM. 1000 GB Hard Disc. Windows 8 Pro",Notebook Basic 18,1570.0,EUR,28,19,2.5,cm
HT-1003,LT,Computer Systems,Smartcards,4.2,KG,"Notebook Basic 19 with 2.80 GHz quad core. 19"" LCD. 8 GB DDR3 RAM. 1000 GB Hard Disc. Windows 8 Pro",Notebook Basic 19,1650.0,EUR,32,21,4,cm
HT-1007,AC,Computer Components,Technocom,0.2,KG,Digital Organizer with State-of-the-Art Storage Encryption,ITelO Vault,299.0,EUR,32,22,3,cm
HT-1010,AC,Computer Systems,Very Best Screens,4.3,KG,"Notebook Professional 15 with 2.80 GHz quad core. 15"" Multitouch LCD. 8 GB DDR3 RAM. 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM).Windows 8 Pro",Notebook Professional 15,1999.0,EUR,33,20,3,cm
HT-1011,LT,Computer Systems,Very Best Screens,4.1,KG,"Notebook Professional 17 with 2.80 GHz quad core. 17"" Multitouch LCD. 8 GB DDR3 RAM. 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM).Windows 8 Pro",Notebook Professional 17,2299.0,EUR,33,23,2,cm
HT-1020,AC,Computer Components,Technocom,0.16,KG,Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications,ITelO Vault Net,459.0,EUR,10,1.8,17,cm
HT-1021,AC,Computer Components,Technocom,0.18,KG,Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link,ITelO Vault SAT,149.0,EUR,11,1.7,18,cm
HT-1022,AC,Computer Components,Technocom,0.2,KG,32 GB Digital Assistant with high-resolution color screen,Comfort Easy,1679.0,EUR,84,1.5,14,cm
HT-1023,AC,Computer Components,Technocom,0.8,KG,64 GB Digital Assistant with high-resolution color screen and synthesized voice output,Comfort Senior,512.0,EUR,80,1.6,13,cm
HT-1030,FT,Computer Components,Very Best Screens,21,KG,Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz. Dot Pitch: 0.27mm,Ergo Screen E-I,230.0,EUR,37,12,36,cm
HT-1031,FT,Computer Components,Very Best Screens,21,KG,Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz. Dot Pitch: 0.26mm,Ergo Screen E-II,285.0,EUR,40.8,19,43,cm
HT-1032,FT,Computer Components,Very Best Screens,21,KG,Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz. Dot Pitch: 0.25mm,Ergo Screen E-III,345.0,EUR,40.8,19,43,cm
HT-1035,FT,Computer Components,Very Best Screens,14,KG,Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz. Dot Pitch: 0.24mm,Flat Basic,399.0,EUR,39,20,41,cm
HT-1036,FT,Computer Components,Very Best Screens,15,KG,Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz. Dot Pitch: 0.26mm,Flat Future,430.0,EUR,45,26,46,cm
HT-1037,FT,Computer Components,Very Best Screens,17,KG,Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz. Dot Pitch: 0.24mm,Flat XL,1230.0,EUR,54.5,22.1,39.1,cm
